"","PCSA","SDI_2022_Raw","SDI_2022"
"278","05031001000",0.704066340715145,77
"279","05033020502",1.42889041716104,96
"280","05131000600",0.236804810648111,57
"281","05033020600",0.493758881676475,68
"282","05035030302",1.71147949573322,99
"283","28143950100",0.7050001555729,77
"284","05037950600",0.818782661994577,81
"285","05039970300",0.616009070886295,74
"286","05041950200",1.23272127520936,93
"287","05041950400",1.5668216016802,98
"288","05043490200",0.889111407436845,83
"289","05045031003",0.931081734836001,85
"290","05047950200",0.665761511470627,75
"291","05047950300",0.375636767152428,63
"292","05049550100",-0.0671918854393938,43
"293","05065960300",0.661814764045232,75
"294","05051011800",-0.15719707473834,39
"295","05097953000",0.335347602585521,61
"296","05053470400",-0.166533777289642,39
"297","05055480400",0.648640449184811,75
"298","05061950300",0.990100809831339,87
"299","05109953500",0.274543866973225,58
"300","05057480300",1.25523136888571,93
"301","05059020400",1.1962680375666,92
"302","05133080100",0.519597253277161,70
"303","05063490500",0.270206336681754,58
"304","05067480200",0.918438985829675,84
"305","05067480300",0.956404458012462,86
"306","05147490100",0.737481784907636,78
"307","05069001800",0.0791816128099413,50
"308","05071952100",1.2736132040389,94
"309","05075470502",1.09530005208397,89
"310","05077470300",1.42470265412723,96
"311","05095950300",1.10815475508371,90
"312","05079960500",0.336353488453361,61
"313","48037011502",0.712294883894086,77
"314","05083950300",0.574758505139462,72
"315","05149952500",1.34170595802447,95
"316","05083950600",0.449828112189828,67
"317","05145071200",0.124010870940906,52
"318","05085020204",0.700657359814027,77
"319","05085020500",0.382071219903295,63
"320","05085020700",0.573467159940562,72
"321","05087960200",1.10829043569814,90
"322","05089960201",0.440635684107631,66
"323","05093010100",1.60943268036674,99
"324","29155470500",0.457642339084271,67
"325","05093010800",1.09740268045016,89
"326","05093011000",1.6546220995923,99
"327","05117460100",-0.10707083959534,41
"328","05149952600",0.318153229212877,60
"329","05101180200",0.232679964149433,56
"330","05103950600",1.11729386761382,90
"331","05105952800",0.515025866830978,69
"332","05107480400",1.41435168461704,96
"333","05113950200",0.17794984177098,54
"334","05115951502",0.0375777731146233,48
"335","05147490200",0.669872141677211,76
"336","05119002103",0.50848100814225,69
"337","05119003604",0.443748623432537,66
"338","05119003703",-1.36135494760286,4
"339","05121960200",0.169398514767054,53
"340","05123960400",1.59097047130687,98
"341","05125010101",0.736848761527403,78
"342","05127950200",1.0998607745527,90
"343","05131000800",1.57328028824738,98
"344","05131001304",-0.551992431715356,24
"345","05131010202",0.293120825980959,59
"346","05135470200",0.365136518823059,62
"347","05137950202",0.928119122921765,85
"348","05139950300",0.287737727369366,59
"349","22111960200",0.915641601950135,84
"350","05139950800",0.916951820863148,84
